"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
57,"Auto—Service station:",,"N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
58,"Auto—Used cars ",,"N","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
59,"Bakery—Baking on premises for Retail Sales:",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
60,"Bottle Club",,"N","N","N","Y","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
61,"Cafe or Deli",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
62,"Catalogue order service/mail order ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
63,"Caterer ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","N"
64,"Caterer—Food prep—Off premises only ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
65,"Cemetery ",,"N","N","N","N","N","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
66,"Christmas tree lot ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
67,"Coin-Operated Vending Machines.",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","N"
68,"Candy Store",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
69,"Flea Markets:",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
70,"Florist ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
71,"Grocery Market",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
72,"Home Party Sales",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","N","N"
73,"Indoor sales—Temporary location ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
74,"Ice Cream Shop",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
75,"Junk or scrap metal dealer ",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
76,"Manufacturing—Silk/cut floral arrang. Only ",,"N","N","N","Y","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
77,"Merchant—retail w/pharmacy",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
78,"Mobile home sales ",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
79,"Motorcycle Sales  Rental and Repairs",,"N","N","N","N","N","Y","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
80,"Pawnshop ",,"N","N","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
81,"Peddler (On roadways moving to various locations)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Peddler—Food Cart ",,"N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
83,"Peddler—Food Truck -  B-B-Q Stands",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
84,"Physical therapy devices ",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
85,"Pyrotechnic Sales and Display",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
86,"Restaurant:",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
87,"Restaurants-Drive-Through",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
88,"Stands/Farmers Market —Farm Products, Fruits, Plants ",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
89,"Appraisal bureau or agency ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
